0,1.5708,1.5708
4.7124,1.5708,0
4.7124,1.5708,1.5708
4.7124,1.5708,3.1416
3.1416,1.5708,1.5708
0,1.5708,6.2832
3.927,2.9802e-08,3.927
3.1416,0,3.1416
2.3562,2.9802e-08,2.3562
3.1416,1.5708,3.1416
1.5708,1.5708,0
0,1.5708,4.7124
1.5708,1.5708,4.7124
3.1416,1.5708,4.7124
1.5708,1.5708,3.1416
2.3562,3.1416,3.927
0,1.5708,3.1416
1.5708,3.1416,4.7124
3.1416,1.5708,0
0.7854,3.1416,5.4978
1.5708,1.5708,1.5708
3.1416,3.1416,3.1416
4.7124,1.5708,4.7124
4.7124,0,4.7124
1.5708,0,1.5708
4.7124,1.5708,4.7124
0,3.1416,0
1.5708,1.5708,1.5708
3.927,3.1416,2.3562
3.1416,1.5708,0
4.7124,3.1416,1.5708
0,1.5708,3.1416
5.4978,3.1416,0.7854
1.5708,1.5708,3.1416
3.1416,1.5708,4.7124
1.5708,1.5708,4.7124
0,1.5708,4.7124
1.5708,1.5708,0
3.1416,1.5708,3.1416
5.4978,2.9802e-08,5.4978
0,0,0
0.7854,2.9802e-08,0.7854
0,1.5708,0
3.1416,1.5708,1.5708
4.7124,1.5708,3.1416
4.7124,1.5708,1.5708
4.7124,1.5708,0
0,1.5708,1.5708
